Country,Latitude1,Longitude1,Internal Colaboration,Latitude2,Longitude2
Cameroon,3.5,11.35,Ghana,5.35,-0.06
Cameroon,3.5,11.35,Benin,6.23,2.42
Kenya,-1.17,36.48,South Africa,-25.44,28.12
Kenya,-1.17,36.48,Zimbabwe,-17.43,31.02
Kenya,-1.17,36.48,Malawi,-14,33.48
Kenya,-1.17,36.48,Tanzania,-6.369,34.8888
Kenya,-1.17,36.48,South Africa,-25.44,28.12
Kenya,-1.17,36.48,Mauritius,-20.244959,57.561768
Kenya,-1.17,36.48,South Africa,-25.44,28.12
Nigeria,9.05,7.32,Uganda,0.2,32.3
Nigeria,9.05,7.32,Cameroon,3.5,11.35
South Africa,-25.44,28.12,Namibia,-22.35,17.04
Tanzania,-6.369,34.8888,Kenya,-1.17,36.48
