Country,Latitude1,Longitude1,International Funder 1,,Funder,Funder,Latitude2,Longitude2,Number
Algeria,36.42,3.08,"Institute Diversity, Evolution, Ecology of the Living.",IDEEV,France,Europe,50.3785,14.9706,3
Benin,6.23,2.42,"Conservation, Food and Health Foundation",CFHF,USA,North America,48.740861,-107.363281,1
Benin,6.23,2.42, International Institute of Tropical Agriculture (IITA),IITA,Nigeria,Europe,50.3785,14.9706,2
Cameroon,3.5,11.35,German Academic Exchange Service,GAES,Germany,Europe,50.3785,14.9706,10
Kenya,-1.17,36.48,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,Europe,50.3785,14.9706,19
Kenya,-1.17,36.48,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,North America,48.740861,-107.363281,5
Morocco,31.628674,-7.992047,Spanish Agency for International Co-operation (AECI),AECI,Spain,Europe,50.3785,14.9706,7
Mozambique,-25.58,32.32,"Centrum für Internationale Migration und Entwicklung (CIM), Frankfurt, Germany",CIME ,Germany,Europe,50.3785,14.9706,1
Nigeria,9.05,7.32,International Society for Neurochemistry,ISN,USA,North America,48.740861,-107.363281,2
Nigeria,9.05,7.32,The World Academy of Sciences,TWAS,Italy,Europe,50.3785,14.9706,19
Nigeria,9.05,7.32,"Prince of Songkla University, Thailand",GSPSU,Thailand,Asia,49.895716,78.906248,2
Nigeria,9.05,7.32, (PIBIC/ URCA),PIBIC/URCA,Brazil,South America,-8.59183,-57.565291,2
Nigeria,9.05,7.32,James Cook University of North Queensland,JCU,Australia,Oceanea,-22.909333,133.833814,1
South Africa,-25.44,28.12,"Ministry of Education
Youth and Sports, Czech Republic",MEYS Czech Republic,Czech Republic,Europe,50.3785,14.9706,1
South Africa,-25.44,28.12,"Ministry of Education, Culture, Sports, Science and
Technology of Japan",MECSST Japan,Japan,Asia,49.895716,78.906248,1
South Africa,-25.44,28.12,Palacky University,PU,Czech Republic,Europe,50.3785,14.9706,1
South Africa,-25.44,28.12,The foundation of JSPS Core to Core Program,JSPSCCP,Japan,Asia,49.895716,78.906248,1
Tanzania,-6.369,34.8888,FAO,FAO,Italy,Europe,50.3785,14.9706,9
Tunisia,36.5,10.11,French Ministries of Higher Education and Scientific research,FMHESR,France,Europe,50.3785,14.9706,3
Zimbabwe,-17.43,31.02,Porto neurosciences and neurologic disease research initiative,PNNDRI,Portugal,Europe,50.3785,14.9706,1
